gene_name,SCZ.log2FC,SCZ.fdr
AC020907.2,-0.139575648,0.024599247
AC020910.2,-0.003936554,0.914729572
AC020922.1,0.002021265,0.981319314
AC021016.6,-0.002881894,0.981319314
AC021016.7,-0.065190766,0.490165862
AC021188.4,0.170961281,0.010979934
AC021224.1,0.05960344,0.593096415
AC021593.1,0.181411363,0.213431111
AC021860.1,-0.085058966,0.056245046
AC022007.5,-0.033699004,0.500296609
AC022153.1,0.088654031,0.368074531
AC022154.7,-0.008668093,0.944707637
AC022182.1,0.047263057,0.697892506
AC022182.3,-0.060958311,0.601167112
AC022400.2,-0.039903665,0.722274222
AC022431.1,-0.007793626,0.951022892
AC022498.1,-0.014614495,0.874094851
AC022532.1,0.010225903,0.936963805
AC022596.6,-0.15983267,0.09115089
AC023137.2,-0.05581677,0.593096415
AC023271.1,-0.001530762,0.984687448
AC023481.1,-0.079705935,0.304527343
AC023490.1,0.04339844,0.624280697
AC023490.2,0.001445466,0.991552003
AC023590.1,0.009657513,0.916249168
AC024257.1,0.051884489,0.361342875
AC024560.2,0.040324954,0.757887965
AC024560.3,-0.014274774,0.503422307
AC024580.1,-0.048534942,0.507966351
AC024592.12,-0.089691542,0.461907677
AC024704.2,0.001815496,0.987098036
AC024937.6,-0.054165514,0.446984623
AC025165.8,-0.060449998,0.362664942
AC025171.1,-0.11594582,0.00803017
AC025335.1,0.06486933,0.000386385
AC025627.9,-0.17051746,0.068242755
AC025750.6,0.034888805,0.719269816
AC025811.1,-0.045923908,0.707741309
AC025811.2,-0.031421183,0.822643316
AC025811.3,0.072553203,0.485978979
AC025918.2,0.008755127,0.929559257
AC026150.6,0.029812662,0.830715775
AC026150.8,-0.017683377,0.809301487
AC026166.2,0.021786213,0.800330046
AC026202.1,-0.011813999,0.928391101
